kx	ky	energy
-2.994330	2.552544	5.185054	5.097530
-2.994330	2.601631	5.237572	5.150048
-2.994330	2.650719	5.285958	5.198433
-2.994330	2.699806	5.330094	5.242569
-2.994330	2.748894	5.369874	5.282350
-2.994330	2.797981	5.405203	5.317679
-2.994330	2.847068	5.435996	5.348471
-2.994330	2.896156	5.462178	5.374653
-2.994330	2.945243	5.483686	5.396161
-2.994330	2.994330	5.500468	5.412944
-2.994330	3.043418	5.512485	5.424960
-2.994330	3.092505	5.519706	5.432182
-2.945243	-3.141593	5.505333	5.417808
-2.945243	-3.092505	5.502924	5.415399
-2.945243	-3.043418	5.495702	5.408178
-2.945243	-2.994330	5.483686	5.396161
-2.945243	-2.945243	5.466903	5.379379
-2.945243	-2.896156	5.445395	5.357871
-2.945243	-2.847068	5.419213	5.331689
-2.945243	-2.797981	5.388421	5.300896
-2.945243	-2.748894	5.353092	5.265567
-2.945243	-2.699806	5.313311	5.225787
-2.945243	-2.650719	5.269175	5.181651
-2.945243	-2.601631	5.220790	5.133266
-2.945243	-2.552544	5.168272	5.080748
-2.945243	-2.503457	5.111748	5.024223
-2.945243	-2.454369	5.051354	4.963829
-2.945243	-2.405282	4.987235	4.899711
-2.945243	-2.356194	4.919546	4.832022
-2.945243	-2.307107	4.848451	4.760926
-2.945243	-2.258020	4.774119	4.686595
-2.945243	-2.208932	4.696731	4.609207
-2.945243	-2.159845	4.616473	4.528949
-2.945243	-2.110758	4.533538	4.446014
-2.945243	-2.061670	4.448126	4.360602
-2.945243	-2.012583	4.360443	4.272919
-2.945243	-1.963495	4.270700	4.183175
-2.945243	-1.914408	4.179112	4.091588
-2.945243	-1.865321	4.085902	3.998378
-2.945243	-1.816233	3.991293	3.903769
-2.945243	-1.767146	3.895513	3.807989
-2.945243	-1.718058	3.798794	3.711269
-2.945243	-1.668971	3.701367	3.613843
-2.945243	-1.619884	3.603468	3.515944
-2.945243	-1.570796	3.505333	3.417808
-2.945243	-1.521709	3.407197	3.319673
-2.945243	-1.472622	3.309298	3.221774
-2.945243	-1.423534	3.211872	3.124347
-2.945243	-1.374447	3.115152	3.027628
-2.945243	-1.325359	3.019372	2.931848
-2.945243	-1.276272	2.924763	2.837239
-2.945243	-1.227185	2.831553	2.744029
-2.945243	-1.178097	2.739966	2.652441
-2.945243	-1.129010	2.650223	2.562698
-2.945243	-1.079922	2.562539	2.475015
-2.945243	-1.030835	2.477127	2.389603
-2.945243	-0.981748	2.394192	2.306668
-2.945243	-0.932660	2.313934	2.226410
-2.945243	-0.883573	2.236546	2.149022
-2.945243	-0.834486	2.162215	2.074690
-2.945243	-0.785398	2.091119	2.003595
-2.945243	-0.736311	2.023431	1.935906
-2.945243	-0.687223	1.959312	1.871787
-2.945243	-0.638136	1.898918	1.811393
-2.945243	-0.589049	1.842394	1.754869
-2.945243	-0.539961	1.789876	1.702351
-2.945243	-0.490874	1.741490	1.653966
-2.945243	-0.441786	1.697354	1.609830
-2.945243	-0.392699	1.657574	1.570049
-2.945243	-0.343612	1.622245	1.534720
-2.945243	-0.294524	1.591452	1.503928
-2.945243	-0.245437	1.565270	1.477746
-2.945243	-0.196350	1.543762	1.456238
-2.945243	-0.147262	1.526980	1.439455
-2.945243	-0.098175	1.514963	1.427439
-2.945243	-0.049087	1.507742	1.420217
-2.945243	0.000000	1.505333	1.417808
-2.945243	0.049087	1.507742	1.420217
-2.945243	0.098175	1.514963	1.427439
-2.945243	0.147262	1.526980	1.439455
-2.945243	0.196350	1.543762	1.456238
-2.945243	0.245437	1.565270	1.477746
-2.945243	0.294524	1.591452	1.503928
-2.945243	0.343612	1.622245	1.534720
-2.945243	0.392699	1.657574	1.570049
-2.945243	0.441786	1.697354	1.609830
-2.945243	0.490874	1.741490	1.653966
-2.945243	0.539961	1.789876	1.702351
-2.945243	0.589049	1.842394	1.754869
-2.945243	0.638136	1.898918	1.811393
-2.945243	0.687223	1.959312	1.871787
-2.945243	0.736311	2.023431	1.935906
-2.945243	0.785398	2.091119	2.003595
-2.945243	0.834486	2.162215	2.074690
-2.945243	0.883573	2.236546	2.149022
-2.945243	0.932660	2.313934	2.226410
-2.945243	0.981748	2.394192	2.306668
-2.945243	1.030835	2.477127	2.389603
-2.945243	1.079922	2.562539	2.475015
-2.945243	1.129010	2.650223	2.562698
-2.945243	1.178097	2.739966	2.652441
-2.945243	1.227185	2.831553	2.744029
-2.945243	1.276272	2.924763	2.837239
-2.945243	1.325359	3.019372	2.931848
-2.945243	1.374447	3.115152	3.027628
-2.945243	1.423534	3.211872	3.124347
-2.945243	1.472622	3.309298	3.221774
-2.945243	1.521709	3.407197	3.319673
-2.945243	1.570796	3.505333	3.417808
-2.945243	1.619884	3.603468	3.515944
-2.945243	1.668971	3.701367	3.613843
-2.945243	1.718058	3.798794	3.711269
-2.945243	1.767146	3.895513	3.807989
-2.945243	1.816233	3.991293	3.903769
-2.945243	1.865321	4.085902	3.998378
-2.945243	1.914408	4.179112	4.091588
-2.945243	1.963495	4.270700	4.183175
-2.945243	2.012583	4.360443	4.272919
-2.945243	2.061670	4.448126	4.360602
-2.945243	2.110758	4.533538	4.446014
-2.945243	2.159845	4.616473	4.528949
-2.945243	2.208932	4.696731	4.609207
-2.945243	2.258020	4.774119	4.686595
-2.945243	2.307107	4.848451	4.760926
-2.945243	2.356194	4.919546	4.832022
-2.945243	2.405282	4.987235	4.899711
-2.945243	2.454369	5.051354	4.963829
-2.945243	2.503457	5.111748	5.024223
-2.945243	2.552544	5.168272	5.080748
-2.945243	2.601631	5.220790	5.133266
-2.945243	2.650719	5.269175	5.181651
-2.945243	2.699806	5.313311	5.225787
-2.945243	2.748894	5.353092	5.265567
-2.945243	2.797981	5.388421	5.300896
-2.945243	2.847068	5.419213	5.331689
-2.945243	2.896156	5.445395	5.357871
-2.945243	2.945243	5.466903	5.379379
