path	fm energy1	fm energy2	fm_ energy1	fm_ energy2	afm energy1	afm energy2
350	4.905791	-0.466276	6.784819	1.412752	-0.115229	6.433772
351	4.977712	-0.538197	6.856740	1.340831	-0.174479	6.493021
352	5.047971	-0.608457	6.927000	1.270571	-0.232833	6.551376
353	-0.677013	5.116527	6.995556	1.202015	-0.290200	6.608743
354	5.183338	-0.743824	1.135204	7.062367	-0.346494	6.665037
355	-0.808850	5.248364	7.127393	1.070178	-0.401633	6.720176
356	5.311566	-0.872052	7.190594	1.006976	-0.455540	6.774082
357	5.372905	-0.933391	7.251934	0.945637	-0.508142	6.826685
358	-0.992831	5.432345	0.886197	7.311374	-0.559371	6.877913
359	-1.050336	5.489850	0.828692	7.368878	-0.609162	6.927704
360	5.545385	-1.105871	7.424413	0.773157	-0.657452	6.975995
361	5.598917	-1.159403	7.477945	0.719626	-0.704186	7.022728
362	-1.210899	5.650413	7.529441	0.668129	-0.749306	7.067849
363	5.699843	-1.260329	7.578871	0.618699	-0.792763	7.111306
364	5.747177	-1.307662	7.626205	0.571366	-0.834507	7.153050
365	-1.352871	5.792385	0.526157	7.671414	-0.874492	7.193035
366	-1.395928	5.835442	0.483101	7.714470	-0.912676	7.231219
367	-1.436807	5.876321	0.442222	7.755349	-0.949017	7.267560
368	5.914997	-1.475483	0.403546	7.794025	-0.983478	7.302021
369	5.951447	-1.511933	7.830476	0.367095	-1.016024	7.334566
370	5.985650	-1.546136	7.864678	0.332893	-1.046620	7.365163
371	-1.578070	6.017584	7.896612	0.300959	-1.075238	7.393780
372	6.047230	-1.607716	7.926259	0.271312	-1.101847	7.420389
373	6.074571	-1.635057	7.953599	0.243971	-1.126422	7.444965
374	-1.660076	6.099590	0.218953	7.978618	-1.148940	7.467482
375	-1.682758	6.122272	0.196271	8.001300	-1.169377	7.487920
376	6.142603	-1.703089	8.021631	0.175940	-1.187716	7.506258
377	6.160571	-1.721057	8.039599	0.157972	-1.203938	7.522480
378	6.176165	-1.736651	8.055194	0.142377	-1.218027	7.536570
379	6.189376	-1.749862	8.068405	0.129166	-1.229972	7.548514
380	-1.760682	6.200196	0.118346	8.079225	-1.239760	7.558302
381	6.208619	-1.769104	8.087647	0.109924	-1.247382	7.565924
382	-1.775124	6.214638	0.103904	8.093666	-1.252832	7.571374
383	6.218251	-1.778737	8.097280	0.100291	-1.256103	7.574646
